Original,Beam (6),Greedy,Beam err,Greedy err
"Ní raibh, a dheabhail, ní raibh. Nó dhá mbeadh, ar ndóigh, ní labhair‑, ar an gcaoi sin.","Ní raibh a dheabhail, ní raibh nó dhá mbeadh, ar ndóigh, ní labhair ar an gcaoi sin.","Ní raibh a dheabhail, ní raibh nó dhá mbeadh, ar ndóigh, ní labhair ar an gcaoi sin.","deletion: ,; substitution: .->nó; deletion: Nó; deletion: ‑; deletion: ,","deletion: ,; substitution: .->nó; deletion: Nó; deletion: ‑; deletion: ,"
"Ó! bhí, bhí, bhí, bhí muis. Bhí. Agus sa gceárta a dhéantaí iad, nach ea?",Ó bhí bhí bhí bhí muis bhí agus sa gceárta a dhéantaí iad nach ea?,Ó bhí bhí bhí bhí muis bhí agus sa gceárta a dhéantaí iad nach ea?,"deletion: !; deletion: ,; deletion: ,; deletion: ,; substitution: .->bhí; substitution: Bhí->agus; deletion: .; deletion: Agus; deletion: ,","deletion: !; deletion: ,; deletion: ,; deletion: ,; substitution: .->bhí; substitution: Bhí->agus; deletion: .; deletion: Agus; deletion: ,"
5. Theastaigh uaidh a scíth a ligeadh agus cúpla deoch a bheith aige sa tigh tábhairne áitiúil.,5. Theastaigh uaidh a scíth a ligeadh agus cúpla deoch a bheith aige sa tigh tábhairne áitiúil.,5. Theastaigh uaidh a scíth a ligeadh agus cúpla deoch a bheith aige sa tigh tábhairne áitiúil.,,
"32. Agus le sin thit an Gael Ceilteach ina chnap, gan aithne, gan urlabhra",32. Agus le sin thit an Gael Ceilteach ina chnap gan aithne gan urlabhra.,32. Agus le sin thit an Gael Ceilteach ina chnap gan aithne gan urlabhra.,"deletion: ,; deletion: ,; insertion: .","deletion: ,; deletion: ,; insertion: ."
"Ach, a Liam, an léiriú maith é an Comórtas Eoraifíse ar an gcineál ceoil a mbíonn daoine ag éisteacht leis sa lá atá inniu ann, i ndáiríre?","Ach a Liam, an léiriú maith é an Comórtas Eoraifíse ar an gcineál ceoil a mbíonn daoine ag éisteacht leis sa lá atá inniu ann i ndáiríre.","Ach a Liam, an léiriú maith é an Comórtas Eoraifíse ar an gcineál ceoil a mbíonn daoine ag éisteacht leis sa lá atá inniu ann i ndáiríre.","deletion: ,; deletion: ,; substitution: ?->.","deletion: ,; deletion: ,; substitution: ?->."
"Ach is iad siúd na heisceachtaí mar a luaigh muid ar ball! Inis dom, a Liam, cén bunús atá leis an gcomórtas seo?","Ach is iad siúd na heisceachtaí mar a luaigh muid ar ball. Inis dom, a Liam, cén bunús atá leis an gcomórtas seo?","Ach is iad siúd na heisceachtaí mar a luaigh muid ar ball. Inis dom, a Liam, cén bunús atá leis an gcomórtas seo?",substitution: !->.,substitution: !->.
"Ceart go leor, bhuel, mar a dúirt tú ansin Tomaí, tá pobal láidir Gaeilge anseo ar an tSráth Bán agus tá eagraíocht láidir anseo fosta mar","Ceart go leor. Bhuel, mar a dúirt tú ansin, Tomaí, tá pobal láidir Gaeilge anseo ar an tSráth Bán agus tá eagraíocht láidir anseo fosta mar","Ceart go leor. Bhuel, mar a dúirt tú ansin, Tomaí, tá pobal láidir Gaeilge anseo ar an tSráth Bán agus tá eagraíocht láidir anseo fosta mar","substitution: ,->.; substitution: bhuel->Bhuel; insertion: ,","substitution: ,->.; substitution: bhuel->Bhuel; insertion: ,"
"háiseanna atá ar fáil sa cheantar seachas muid féin a bheith cuachta istigh inár n-áit bheag féin. Le dhá oíche anuas, bhí thart fá 500 duine i láthair",háiseanna atá ar fáil sa cheantar seachas muid féin a bheith cuachta istigh inár n-áit bheag féin le dhá oíche anuas bhí thart fá 500 duine i láthair.,háiseanna atá ar fáil sa cheantar seachas muid féin a bheith cuachta istigh inár n-áit bheag féin le dhá oíche anuas bhí thart fá 500 duine i láthair.,"substitution: .->le; deletion: Le; deletion: ,; insertion: .","substitution: .->le; deletion: Le; deletion: ,; insertion: ."
"Iontach maith, iontach maith ar fad. Agus an raibh tinte cnámh agus a leithéid mar chuid den nósmhaireacht?","Iontach maith, iontach maith ar fad. Agus an raibh tinte cnámh agus a leithéid mar chuid den nósmhaireacht?","Iontach maith, iontach maith ar fad agus an raibh tinte cnámh agus a leithéid mar chuid den nósmhaireacht?",,substitution: .->agus; deletion: Agus
Agus a' bhfuil baint ag- cé chomh mór agus atá baint ag fearg leis sin?,Agus a' bhfuil baint ag- cé chomh mór agus atá baint ag fearg leis sin?,Agus a' bhfuil baint ag- cé chomh mór agus atá baint ag fearg leis sin?,,
"ina suí fá na tithe agus gan mórán le déanamh. Eh cineál de caitheamh aimsire a bheadh ann chomh maith le achan rud eile, is dócha.",Ina suí fá na tithe agus gan mórán le déanamh eh cineál de caitheamh aimsire a bheadh ann chomh maith le achan rud eile is dócha.,Ina suí fá na tithe agus gan mórán le déanamh eh cineál de caitheamh aimsire a bheadh ann chomh maith le achan rud eile is dócha.,"substitution: ina->Ina; substitution: .->eh; deletion: Eh; deletion: ,","substitution: ina->Ina; substitution: .->eh; deletion: Eh; deletion: ,"
"Mar sin, chuaigh sí féin amach ar maidin agus thóg sí an bruscar ar fad a d'inis sí dúinn.",Mar sin chuaigh sí féin amach ar maidin agus thóg sí an bruscar ar fad a d'inis sí dúinn.,Mar sin chuaigh sí féin amach ar maidin agus thóg sí an bruscar ar fad a d'inis sí dúinn.,"deletion: ,","deletion: ,"
An bhfuil sibh ag earcú níos mó banaltraí agus a leithéid anois ehm nuair atá an cead sin tugtha?,An bhfuil sibh ag earcú níos mó banaltraí agus a leithéid anois ehm nuair atá an cead sin tugtha?,An bhfuil sibh ag earcú níos mó banaltraí agus a leithéid anois ehm nuair atá an cead sin tugtha?,,
Craoladh an t-agallamh seo an chéaduair ar RTÉ Raidió na Gaeltachta. Labhraíonn Peadar Ó Cualáin le Bairbre Nic Dhonncha faoi chúrsa oiliúna de chuid Phléaráca.,Craoladh an t-agallamh seo an chéaduair ar RTÉ Raidió na Gaeltachta. Labhraíonn Peadar Ó Cualáin le Bairbre Nic Dhonncha faoi chúrsa oiliúna de chuid Phléaráca.,Craoladh an t-agallamh seo an chéaduair ar RTÉ Raidió na Gaeltachta. Labhraíonn Peadar Ó Cualáin le Bairbre Nic Dhonncha faoi chúrsa oiliúna de chuid Phléaráca.,,
"Nuair a phós sé bean as Árainn, nó bean a raibh seilbh aici in Árainn, Caitríona Ní Ghiolla Pháraic, siar i sé déag ochtó a ceathair.","Nuair a phós sé bean as Árainn nó bean a raibh seilbh aici in Árainn, Caitríona Ní Ghiolla Pháraic, siar i sé déag ochtó a ceathair.","Nuair a phós sé bean as Árainn nó bean a raibh seilbh aici in Árainn, Caitríona Ní Ghiolla Pháraic, siar i 16 84.","deletion: ,","deletion: ,; substitution: sé->16; substitution: déag->84; deletion: ochtó; deletion: a; deletion: ceathair"
"ar nós a bhíodh muid fhéin a dhéanamh go minic, ag caint théis an aifrinn",Ar nós a bhíodh muid fhéin a dhéanamh go minic ag caint théis an Aifrinn.,Ar nós a bhíodh muid fhéin a dhéanamh go minic ag caint théis an Aifrinn.,"substitution: ar->Ar; deletion: ,; substitution: aifrinn->Aifrinn; insertion: .","substitution: ar->Ar; deletion: ,; substitution: aifrinn->Aifrinn; insertion: ."
"le Mícheál, thabharfaí bronntanas mór groíúil leo, nuair a, nuair a phósaidís, nuair a phós Maude Wynne sin, sise an bhean is mó","Le Mícheál, thabharfaí bronntanas mór groíúil leo nuair a nuair a phósaidís nuair a phós Maude Wynne sin sise an bhean is mó.","Le Mícheál, thabharfaí bronntanas mór groíúil leo nuair a nuair a phósaidís nuair a phós Maude Wynne sin sise an bhean is mó.","substitution: le->Le; deletion: ,; deletion: ,; deletion: ,; deletion: ,; insertion: .","substitution: le->Le; deletion: ,; deletion: ,; deletion: ,; deletion: ,; insertion: ."
"Tá go leor brú, agus tá chuile dhuine ag caint ar an brú seo, agus b'fhéidir an iomarca brú á chur ar ghasúir.",Tá go leor brú agus tá chuile dhuine ag caint ar an brú seo agus b'fhéidir an iomarca brú á chur ar ghasúir.,Tá go leor brú agus tá chuile dhuine ag caint ar an brú seo agus b'fhéidir an iomarca brú á chur ar ghasúir.,"deletion: ,; deletion: ,","deletion: ,; deletion: ,"
"An coiste tá sibh, tá borradh mór faoin gcoiste nach bhfuil, le, le tamall anuas?",An Coiste Tá sibh Tá borradh mór faoin gCoiste nach bhfuil le le tamall anuas.,An Coiste Tá sibh Tá borradh mór faoin gCoiste nach bhfuil le le tamall anuas.,"substitution: coiste->Coiste; substitution: tá->Tá; substitution: ,->Tá; deletion: tá; substitution: gcoiste->gCoiste; deletion: ,; deletion: ,; substitution: ?->.","substitution: coiste->Coiste; substitution: tá->Tá; substitution: ,->Tá; deletion: tá; substitution: gcoiste->gCoiste; deletion: ,; deletion: ,; substitution: ?->."
"le cúnamh Dé anois, cuirfidh sé sin deireadh leis sin, sul má thiocfas an ceann, seo chugainn, ní bheidh sé sin le rá ann",Le cúnamh Dé anois cuirfidh sé sin deireadh leis sin sul má thiocfas an ceann seo chugainn ní bheidh sé sin le rá ann.,Le cúnamh Dé anois cuirfidh sé sin deireadh leis sin sul má thiocfas an ceann seo chugainn ní bheidh sé sin le rá ann.,"substitution: le->Le; deletion: ,; deletion: ,; deletion: ,; deletion: ,; insertion: .","substitution: le->Le; deletion: ,; deletion: ,; deletion: ,; deletion: ,; insertion: ."
"Is féidir an cód leabaithe, agus dá réir sin an grianghraf, a ghreamú i réimse an téacs, a fhad is go bhfuil sé idir p agus",Is féidir an cód leabaithe agus dá réir sin an grianghraf a ghreamú i réimse an téacs a fhad is go bhfuil sé idir P agus.,Is féidir an cód leabaithe agus dá réir sin an grianghraf a ghreamú i réimse an téacs a fhad is go bhfuil sé idir P agus.,"deletion: ,; deletion: ,; deletion: ,; substitution: p->P; insertion: .","deletion: ,; deletion: ,; deletion: ,; substitution: p->P; insertion: ."
"Iontach. Anois, Róisín as Machaire Rabhartaigh, inis dom cad é atá tusa ag cruinniú airgid fá choinne.",Iontach anois Róisín as Machaire Rabhartaigh. Inis dom cad é atá tusa ag cruinniú airgid fá choinne,Iontach anois Róisín as Machaire Rabhartaigh. Inis dom cad é atá tusa ag cruinniú airgid fá choinne,"substitution: .->anois; deletion: Anois; deletion: ,; substitution: ,->.; substitution: inis->Inis; deletion: .","substitution: .->anois; deletion: Anois; deletion: ,; substitution: ,->.; substitution: inis->Inis; deletion: ."
"is cineál do gnó atá ann, ab é, an bhfuil a fhios agat ag comhoibriú lena chéile.","Is cineál do gnó atá ann, ab é, an bhfuil a fhios agat, ag comhoibriú lena chéile?","Is cineál do gnó atá ann, ab é an bhfuil a fhios agat, ag comhoibriú lena chéile.","substitution: is->Is; insertion: ,; substitution: .->?","substitution: is->Is; deletion: ,; insertion: ,"
"Mar sin, ó thús na bliana seo tá bliain níos fearr agatsa ó thaobh díol tithe dó,","Mar sin, ó thús na bliana seo tá bliain níos fearr agatsa ó thaobh díol tithe dó.","Mar sin, ó thús na bliana seo tá bliain níos fearr agatsa ó thaobh díol tithe dó.","substitution: ,->.","substitution: ,->."
"Sé. An bhfuil an bhfuil díomá ort, a Phádraig, faoi chinneadh Fhine Gael an ceannáras nár ainmnigh siad thú?",Sé An bhfuil an bhfuil díomá ort a Phádraig faoi chinneadh Fhine Gael an ceannáras nár ainmnigh siad thú?,Sé An bhfuil an bhfuil díomá ort a Phádraig faoi chinneadh Fhine Gael an ceannáras nár ainmnigh siad thú?,"deletion: .; deletion: ,; deletion: ,","deletion: .; deletion: ,; deletion: ,"
"Sé, agus ar ndóigh ceolchoirm mór de chuid na hÉireann atá ann, cuid mhór aoíonna agus ceoltóirí speisialta as Éirinn agus é dírithe mar a déarfá ar cheol na hÉireann.","Sé agus, ar ndóigh, ceolchoirm mór de chuid na hÉireann atá ann, cuid mhór aoíonna agus ceoltóirí speisialta as Éirinn agus é dírithe, mar a déarfá, ar cheol na hÉireann.","Sé agus ar ndóigh ceolchoirm mór de chuid na hÉireann atá ann, cuid mhór aoíonna agus ceoltóirí speisialta as Éirinn agus é dírithe, mar a déarfá, ar cheol na hÉireann.","insertion: agus; deletion: agus; insertion: ,; insertion: ,; insertion: ,","deletion: ,; insertion: ,; insertion: ,"
Sé. Maith go leor a Daithí. Go raibh míle maith agat. An Comhairleoir Contae Daithí Alcorn ansin.,"Sé. Maith go leor, a Daithí. Go raibh míle maith agat. An Comhairleoir Contae, Daithí Alcorn ansin.","Sé. Maith go leor, a Daithí. Go raibh míle maith agat. An Comhairleoir Contae, Daithí Alcorn ansin.","insertion: ,; insertion: ,","insertion: ,; insertion: ,"
Agus caithfear caithfear iad san a dháileadh agus ansan ba chóir go dtabharfaidh sé sin isteach Liadh Ní Riada ar an dara comhaireamh.,Agus caithfear caithfear iad san a dháileadh agus ansan ba chóir go dtabharfaidh sé sin isteach Liadh Ní Riada ar an dara comhaireamh.,Agus caithfear caithfear iad san a dháileadh agus ansan ba chóir go dtabharfaidh sé sin isteach Liadh Ní Riada ar an dara comhaireamh.,,
Agus de réir mar atháid ag déanamh a n-aigne suas fé cá raghaidh siad ar saoire,Agus de réir mar atháid ag déanamh a n-aigne suas fé cá raghaidh siad ar saoire?,Agus de réir mar atháid ag déanamh a n-aigne suas fé cá raghaidh siad ar saoire?,insertion: ?,insertion: ?
"Agus tháimid ana-bhuíoch leis le Louis Mulcahy, thá siad súd ag cur na duaiseanna ar fáil i gcomhair lá an marathon","Agus tháimid ana-bhuíoch leis le Louis Mulcahy, thá siad súd ag cur na duaiseanna ar fáil i gcomhair lá an Marathon.","Agus tháimid ana-bhuíoch leis le Louis Mulcahy, thá siad súd ag cur na duaiseanna ar fáil i gcomhair lá an Marathon.",substitution: marathon->Marathon; insertion: .,substitution: marathon->Marathon; insertion: .
"Don lá an mharatóin fhéinig. Más ea, cad, cén uimhir atháim ag glaoch amach, óna haon go dtí an cad é?",Don lá an mharatóin fhéinig más ea. Cad cén uimhir atháim ag glaoch amach óna haon go dtí an cad é?,Don lá an mharatóin fhéinig más ea. Cad cén uimhir atháim ag glaoch amach óna haon go dtí an cad é?,"insertion: más; insertion: ea; substitution: Más->Cad; deletion: ea; deletion: ,; deletion: cad; deletion: ,; deletion: ,","insertion: más; insertion: ea; substitution: Más->Cad; deletion: ea; deletion: ,; deletion: cad; deletion: ,; deletion: ,"
"""Seo dhuit,"" ar seisean. ""Cuntais an t-ór sin; agus nuair a bheas sin déanta agat tá dea-scéal agamsa le hinsint duit.""","Seo dhuit, ar seisean, cuntais an t-ór sin agus nuair a bheas sin déanta agat tá dea-scéal agamsa le hinsint duit.","Seo dhuit, ar seisean, cuntais an t-ór sin agus nuair a bheas sin déanta agat tá dea-scéal agamsa le hinsint duit.","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->cuntais; deletion: Cuntais; deletion: ;; deletion: ""","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->cuntais; deletion: Cuntais; deletion: ;; deletion: """
"""Más fíor sin,"" arsa Banríon na Mara, ""bliain ó inniu, pósfaidh mise thú. Ach níl cead agat buaireamh a chur orm go dtí sin.""","Más fíor sin, arsa Banríon na Mara bliain ó inniu, pósfaidh mise thú ach níl cead agat buaireamh a chur orm go dtí sin.","Más fíor sin, arsa Banríon na Mara bliain ó inniu, pósfaidh mise thú ach níl cead agat buaireamh a chur orm go dtí sin.","deletion: ""; deletion: ""; deletion: ,; deletion: ""; substitution: .->ach; deletion: Ach; deletion: ""","deletion: ""; deletion: ""; deletion: ,; deletion: ""; substitution: .->ach; deletion: Ach; deletion: """
"""Is maith mar tharla,"" arsa an fear. ""Tá mise ar lorg buachalla agus déanfaidh mé thú a fhostú go ceann míosa.""","""Is maith mar tharla,"" arsa an fear, ""tá mise ar lorg buachalla agus déanfaidh mé thú a fhostú go ceann míosa.""","""Is maith mar tharla,"" arsa an fear, ""tá mise ar lorg buachalla agus déanfaidh mé thú a fhostú go ceann míosa.""","substitution: .->,; substitution: Tá->tá","substitution: .->,; substitution: Tá->tá"
"""Tá brón orm nach dtig leis sin a bheith amhlaidh,"" arsa Mac an Iascaire. ""Tá lámh is focal idir mé féin agus cailín eile.""","""Tá brón orm nach dtig leis sin a bheith amhlaidh,"" arsa Mac an Iascaire, ""tá lámh is focal idir mé féin agus cailín eile.""","""Tá brón orm nach dtig leis sin a bheith amhlaidh,"" arsa Mac an Iascaire, ""tá lámh is focal idir mé féin agus cailín eile.""","substitution: .->,; substitution: Tá->tá","substitution: .->,; substitution: Tá->tá"
"""Glam na con i ndiaidh a sáraithe,"" arsa Conán. ""Rinne tú do dhícheall agus chaill tú.""","Glam na con i ndiaidh a sáraithe, arsa Conán, rinne tú do dhícheall agus chaill tú.","Glam na con i ndiaidh a sáraithe, arsa Conán, rinne tú do dhícheall agus chaill tú.","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->rinne; deletion: Rinne; deletion: ""","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->rinne; deletion: Rinne; deletion: """
"""Más fiúntach agam le rá é, is ag teitheadh as teagmháil atá mé,"" arsa Caoilte.","Más fiúntach agam le rá é is ag teitheadh as teagmháil atá mé, arsa Caoilte.","Más fiúntach agam le rá é is ag teitheadh as teagmháil atá mé, arsa Caoilte.","deletion: ""; deletion: ,; deletion: ""","deletion: ""; deletion: ,; deletion: """
"""Ó, a ghaiscígh is fearr a bhí in Éirinn riamh,"" ar siadsan, ""fan againn agus roinnfimid an ríocht leat.""","""Ó, a ghaiscígh is fearr a bhí in Éirinn riamh,"" ar siadsan, ""fan againn agus roinnfimid an ríocht leat.""","""Ó, a ghaiscígh is fearr a bhí in Éirinn riamh,"" ar siadsan, ""fan againn agus roinnfimid an ríocht leat.""",,
D'imigh an Cearrbhach arís gur tháinig sé a fhad le Dia agus gur iarr achainí eile air.,D'imigh an Cearrbhach arís gur tháinig sé a fhad le Dia agus gur iarr achainí eile air.,D'imigh an Cearrbhach arís gur tháinig sé a fhad le Dia agus gur iarr achainí eile air.,,
D'umhlaigh na fir bheaga ghlasa don bhanríon. D'inis sise dóibh go raibh an ridire óg ag imeacht chun an domhain thoir a bhaint Luibh na Draíochta.,D'umhlaigh na fir bheaga ghlasa don Bhanríon; d'inis sise dóibh go raibh an ridire óg ag imeacht chun an Domhain Thoir a bhaint luibh na draíochta.,D'umhlaigh na fir bheaga ghlasa don Bhanríon; d'inis sise dóibh go raibh an ridire óg ag imeacht chun an Domhain Thoir a bhaint luibh na draíochta.,substitution: bhanríon->Bhanríon; substitution: .->;; substitution: D->d; substitution: domhain->Domhain; substitution: thoir->Thoir; substitution: Luibh->luibh; substitution: Draíochta->draíochta,substitution: bhanríon->Bhanríon; substitution: .->;; substitution: D->d; substitution: domhain->Domhain; substitution: thoir->Thoir; substitution: Luibh->luibh; substitution: Draíochta->draíochta
"""An miste dom a fhiafraí cé thú féin nó cá bhfuil do thriall?"" ar seisean.","""An miste dom a fhiafraí cé thú féin nó cá bhfuil do thriall?"" ar seisean.","An miste dom a fhiafraí cé thú féin nó cá bhfuil do thriall, ar seisean.",,"deletion: ""; substitution: ?->,; deletion: """
"""Maise, níl aithne agam ort,"" ar sise. ''An miste dom a fhiafraí cárb as thú?""","Maise, níl aithne agam ort, ar sise, ''an miste dom a fhiafraí cárb as thú?","Maise, níl aithne agam ort, ar sise, ''an miste dom a fhiafraí cárb as thú?","deletion: ""; deletion: ""; substitution: .->,; substitution: An->an; deletion: ""","deletion: ""; deletion: ""; substitution: .->,; substitution: An->an; deletion: """
"""Tá an leathar chomh gann sin ar an bhaile mhór gur thug lucht gréasaíochta lán mála óir dom ar sheithe mo chapaill,"" arsa Cathal Óg.","""Tá an leathar chomh gann sin ar an bhaile mhór gur thug lucht gréasaíochta lán mála óir dom ar sheithe mo chapaill,"" arsa Cathal Óg.","""Tá an leathar chomh gann sin ar an bhaile mhór gur thug lucht gréasaíochta lán mála óir dom ar sheithe mo chapaill,"" arsa Cathal Óg.",,
"""Is fíor sin,"" arsa fear de na fir. ""Ach níl sé inár gcumas an baile a bhaint amach anocht, agus cad é is fearr dúinn a dhéanamh?""","Is fíor sin, arsa fear de na fir, ach níl sé inár gcumas an baile a bhaint amach anocht agus cad é is fearr dúinn a dhéanamh.","Is fíor sin, arsa fear de na fir, ach níl sé inár gcumas an baile a bhaint amach anocht agus cad é is fearr dúinn a dhéanamh.","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->ach; deletion: Ach; deletion: ,; substitution: ?->.; deletion: ""","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->ach; deletion: Ach; deletion: ,; substitution: ?->.; deletion: """
Bhí Conall ina fhear thréan san am seo agus thoiligh an lánúin an leanbh a thabhairt dó.,Bhí Conall ina fhear thréan san am seo agus thoiligh an lánúin an leanbh a thabhairt dó.,Bhí Conall ina fhear thréan san am seo agus thoiligh an lánúin an leanbh a thabhairt dó.,,
"""Tá,"" arsa an fear óg, ""iad féin agus a luach a bheith liom chun an bhaile.""","""Tá,"" arsa an fear óg, ""iad féin agus a luach a bheith liom chun an bhaile.""","""Tá,"" arsa an fear óg, ""iad féin agus a luach a bheith liom chun an bhaile.""",,
"D'imigh mo dhuine bocht go lúcháireach ag tarraingt ar an bhaile, na caoirigh á dtiomáint roimhe aige agus luach na holla leis ina sparán.","D'imigh mo dhuine bocht go lúcháireach ag tarraingt ar an bhaile, na caoirigh á dtiomáint roimhe aige agus luach na holla leis ina sparán.","D'imigh mo dhuine bocht go lúcháireach ag tarraingt ar an bhaile, na caoirigh á dtiomáint roimhe aige agus luach na holla leis ina sparán.",,
"""Má d'éirigh féin, chan i nganfhios dom,"" arsa an mac. ""Bhí mé i m'ealaí mhagaidh ag lucht an aonaigh i rith an lae.""","""Má d'éirigh féin, chan i nganfhios dom,"" arsa an mac, ""bhí mé i m'ealaí mhagaidh ag lucht an aonaigh i rith an lae.""","Má d'éirigh féin, chan i nganfhios dom, arsa an mac, bhí mé i m'ealaí mhagaidh ag lucht an aonaigh i rith an lae.","substitution: .->,; substitution: Bhí->bhí","deletion: ""; deletion: ""; substitution: .->,; substitution: ""->bhí; deletion: Bhí; deletion: """
"Chuir sí teachtaireacht anonn go Sasana, agus nuair a chuala an rí cad é mar a bhí, d'athraigh sé a intinn fá Ghobán tSaor a chur chun báis.","Chuir sí teachtaireacht anonn go Sasana agus nuair a chuala an rí cad é mar a bhí, d'athraigh sé a intinn fá Ghobán tSaor a chur chun báis.","Chuir sí teachtaireacht anonn go Sasana agus nuair a chuala an rí cad é mar a bhí, d'athraigh sé a intinn fá Ghobán tSaor a chur chun báis.","deletion: ,","deletion: ,"
"""Agus ba mheasa an chailleach na an t-iomlán,"" ar seisean, ""ach b'fhiú mo shaothar uilig é, nó is liom féin caisleán na bhfathach agus a saibhreas as seo amach.""","Agus ba mheasa an chailleach na an t-iomlán, ar seisean, ach b'fhiú mo shaothar uilig é nó is liom féin Caisleán na bhFathach agus a saibhreas as seo amach.","Agus ba mheasa an chailleach na an t-iomlán, ar seisean, ach b'fhiú mo shaothar uilig é nó is liom féin Caisleán na bhFathach agus a saibhreas as seo amach.","deletion: ""; deletion: ""; deletion: ""; deletion: ,; substitution: caisleán->Caisleán; substitution: bhfathach->bhFathach; deletion: ""","deletion: ""; deletion: ""; deletion: ""; deletion: ,; substitution: caisleán->Caisleán; substitution: bhfathach->bhFathach; deletion: """
"16:010: An gceolfá véarsa amháin dó sin dúinn, a Chlíodhna?","16:01.0: An gceolfá véarsa amháin dó sin dúinn, a Chlíodhna?","16:01.0: An gceolfá véarsa amháin dó sin dúinn, a Chlíodhna?",substitution: 010->01; insertion: .; insertion: 0,substitution: 010->01; insertion: .; insertion: 0
And I were to be talking to my fair Taimín and I would not find the night long.,And I were to be talking to my fair Taimín and I would not find the night long.,And I were to be talking to my fair Taimín and I would not find the night long.,,
